CURRENCY,Rate
SDG,
SDG,
SDG,
SDG,
SEK,9.461526
SEK,
SEK,
SEK,9.29927
SEK,
SEK,
SGD,1.364375
SGD,
SGD,
SGD,1.345113
SGD,
SGD,
EUR,0.893409
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
EUR,0.893409
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
SLL,9010.221144
SLL,
SLL,
SLL,9716.71
SLL,
SLL,
EUR,0.893288
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
XOF,585.958558
XOF,
XOF,
XOF,583.903329
XOF,
XOF,
SRD,7.458
SRD,
SRD,
SRD,7.458
SRD,
SRD,
SSP,157.999167
SSP,
SSP,
SSP,161.09
SSP,
SSP,
STD,21884.74182
STD,
STD,
STD,21896.5
STD,
STD,
SVC,
SVC,
SVC,
SVC,
SVC,
SVC,
SYP,
SYP,
SYP,
SYP,
SYP,
SYP,
SZL,14.448427
SZL,
SZL,
SZL,14.025541
SZL,
SZL,
XAF,585.958558
XAF,
XAF,
XAF,583.903329
XAF,
XAF,
XOF,585.958558
XOF,
XOF,
XOF,583.903329
XOF,
XOF,
THB,31.042587
THB,
THB,
THB,29.744526
THB,
THB,
TJS,9.530367
TJS,
TJS,
TJS,9.6872
TJS,
TJS,
TMT,3.5
TMT,
TMT,
TMT,3.5
TMT,
TMT,
TND,2.934433
TND,
TND,
TND,2.79847
TND,
TND,
TOP,2.289486
TOP,
TOP,
TOP,2.28467
TOP,
TOP,
TRY,5.680638
TRY,
TRY,
TRY,5.950062
TRY,
TRY,
TTD,6.754499
TTD,
TTD,
TTD,6.7706
TTD,
TTD,
TWD,30.913488
TWD,
TWD,
TWD,29.913655
TWD,
TWD,
TZS,2288.207933
TZS,
TZS,
TZS,2287.927277
TZS,
TZS,
UAH,25.823631
UAH,
UAH,
UAH,23.292885
UAH,
UAH,
UGX,3704.049072
UGX,
UGX,
UGX,3665.208333
UGX,
UGX,
USD,1
USD,
USD,
USD,1
USD,
USD,
UYU,35.276915
UYU,
UYU,
UYU,37.336
UYU,
UYU,
UZS,8883.5525
UZS,
UZS,
UZS,9507.56
UZS,
UZS,
XCD,2.7
XCD,
XCD,
XCD,2.7
XCD,
XCD,
VEF,
VEF,
VEF,
VEF,
VEF,
VEF,
VND,23050.24167
VND,
VND,
VND,23155
VND,
VND,
VUV,114.253333
VUV,
VUV,
VUV,114.3
VUV,
VUV,
XOF,585.958558
XOF,
XOF,
XOF,583.903329
XOF,
XOF,
WST,2.648826
WST,
WST,
WST,2.62674
WST,
WST,
EUR,0.893409
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
XDR,0.7238
XDR,
XDR,
XDR,0.723157
XDR,
XDR,
YER,250.25
YER,
YER,
YER,250.25
YER,
YER,
ZAR,14.453477
ZAR,
ZAR,
ZAR,14.044241
ZAR,
ZAR,
ZMW,12.889418
ZMW,
ZMW,
ZMW,14.107059
ZMW,
ZMW,
ZWL,8.918546
ZWL,
ZWL,
ZWL,16.7734
ZWL,
ZWL,
